country,city,line,phase,start_year,end_year,is_regional_rail,length_km,tunnel_pct,tunnel_km,num_stations,is_anglo,ppp_rate,real_cost_2023_musd,cost_per_km_2023_musd
CN,Hefei,Line 2,Line 2 Western Extension,2021.0,,0.0,12.7,1.0,12.7,8.0,0.0,0.239000000000001,2409.3632866000025,189.71364461417343
CN,Hefei,Line 6,Line 6 Phase 1,2021.0,,0.0,27.5,1.0,27.5,17.0,0.0,0.239,5639.388227629626,205.0686628228955
CN,Hefei,Line 6,Line 6 East Extension,2021.0,,0.0,10.0,1.0,10.0,4.0,0.0,0.239,1937.8517879301887,193.78517879301887
CN,Hefei,Line 4,Line 4 Southern Extension,2022.0,,0.0,13.97,0.47,6.55,8.0,0.0,0.239,2081.0733009338865,148.9673085851028
CN,Hefei,Line 7,Line 7 Phase 1,,,0.0,21.0,1.0,21.0,17.0,0.0,0.239,4749.945699440906,226.1878904495669
CN,Hefei,Line 8,Line 8 Phase 1,,,0.0,23.0,1.0,23.0,12.0,0.0,0.239,4558.608511145199,198.20037004979127
CN,Hohhot,Line 2,Line 2,2020.0,,0.0,27.3,1.0,27.3,24.0,0.0,0.239,5713.10333993532,209.2711846130154
CN,Jiaxing,Hujia Regional Railway,Hujia Regional Railway (Zhejiang section),2020.0,,1.0,35.01,0.0,0.0,8.0,0.0,0.239,4783.429707392654,136.63038295894472
CN,Jinan,Line 3,Line 3 Phase 1,,2022.0,0.0,21.57,1.0,21.6,13.0,0.0,0.239,3613.641801631177,167.53091338113938
CN,Jinan,Line 2,Line 2,2021.0,,0.0,36.39,0.95,34.6,18.0,0.0,0.239,6127.549685943092,168.38553684921936
CN,Jinan,Line 4,Line 4 Phase 1,2021.0,,0.0,40.3,1.0,40.3,33.0,0.0,0.239000000000001,10723.211950400459,266.0846637816491
CN,Kunming,Line 1,Line 1 Phase 1 and Line 2 Phase 1,2010.0,2014.0,0.0,42.1,0.6983372922,29.4,31.0,0.0,0.3,9699.192190079611,230.38461259096465
CN,Kunming,Line 2,Line 2 Phase 2,2017.0,2019.0,0.0,9.2,1.0,9.2,8.0,0.0,0.273,1901.7934580029794,206.71668021771518
CN,Kunming,Line 1,Line 1 Northwestern Extension,2020.0,,0.0,7.594,1.0,7.594,7.0,0.0,0.239,2515.521269652372,331.2511548133226
